╜s╕╣,дgжa░╧мqжь╕m,дgжa▓╛┬рн▒┐nендшд╜д╪,и╧е╬д└░╧й╬╜sйw
RPQOMLSKKHJFFDE08CA,┬╨╣йкўмq┬╨╣йкўд@дpмq,75.00,│гелбGжэ
RPVNMLTKKHJFFDE58CA,╞Wз╙мq,21.16,│гелбGжэ
RPXOMLPLKHJFFDE58CA,дj┤фмqд╗дpмq,3.03,│гелбG░╙
RPXOMLPLKHJFFDE58CA,дj┤фмqд╗дpмq,.32,│гелбGифеL
RPWNMLQLKHJFFDE48CA,╖р└Yмqд@дpмq,2.66,│гелбGжэ
RPWNMLQLKHJFFDE48CA,╖р└Yмqд@дpмq,5.71,│гелбGжэ
RPOOMLRLKHJFFDE87CA,╞W┤_мq,9.07,│гелбGжэ
RPUNMLRLKHJFFDE38CA,┬╨╣йкўмq┬╨╣йкўд@дpмq,60.00,│гелбGжэ
RPUNMLRLKHJFFDE38CA,┬╨╣йкўмq┬╨╣йкўд@дpмq,12.00,│гелбGжэ
RPTNMLKKKHJFFEE57CA,╖sе·мq,12.66,│гелбGжэ
RPUPMLQJKHJFFEE38CA,╖s╔▄мqдEдpмq,7.48,│гелбGжэ
RPQNMLRKKHJFFEE97CA,╡цд╜мqд╗дpмq,8.00,│гелбGжэ
RPXNMLPLKHJFFEE58CA,╖s╔▄мqдQдTдpмq,5.64,│гелбG░╙
RPTNMLMJLHJFFEE77CA,║╓дsмq,17.28,│гелбG░╙
RPUNMLMJLHJFFEE87CA,║╓дsмq,10.30,│гелбG░╙
RPPNMLOJLHJFFEE57CA,║╓дsмq,17.28,│гелбG░╙
RPRNMLOJLHJFFEE77CA,║╓дsмq,15.67,│гелбG░╙
RPSNMLOJLHJFFEE87CA,║╓дsмq,17.27,│гелбG░╙
RPUNMLOJLHJFFEE08CA,║╓дsмq,12.70,│гелбG░╙
RPVNMLOJLHJFFEE18CA,║╓дsмq,17.28,│гелбG░╙
RPOOMLOJLHJFFEE57CA,║╓дsмq,12.13,│гелбG░╙
RPQOMLOJLHJFFEE77CA,║╓дsмq,12.13,│гелбG░╙
RPROMLOJLHJFFEE87CA,║╓дsмq,15.67,│гелбG░╙
RPSOMLOJLHJFFEE97CA,║╓дsмq,15.67,│гелбG░╙
RPTOMLOJLHJFFEE08CA,║╓дsмq,10.30,│гелбG░╙
RPUOMLOJLHJFFEE18CA,║╓дsмq,10.30,│гелбG░╙
RPVOMLOJLHJFFEE28CA,║╓дsмq,9.83,│гелбG░╙
RPPQMLOLLHJFFEE08CA,║╓дsмq,15.67,│гелбG░╙
RPPOMLQJKHJFFFE87CA,жyдsмq,2265.00,лD│гелбGдsйYжaлOи|░╧ ; лD│гел╜sйwбG╣Aкке╬жa
RPPNMLKKKHJFFFE27CA,е_ид▒Jмq,2214.80,лD│гелбGд@пы╣A╖~░╧ ; лD│гел╜sйwбG╣Aкке╬жa
RPQNMLKKKHJFFFE37CA,│╗?е╨мq,67.14,лD│гелбGд@пы╣A╖~░╧ ; лD│гел╜sйwбGе╥║╪л╪┐vе╬жa
RPPNMLLKKHJFFFE37CA,ик╖Oмq,25.06,лD│гелбG╢mз°░╧ ; лD│гел╜sйwбGдA║╪л╪┐vе╬жa
RPPNMLLKKHJFFFE37CA,ик╖Oмq,3.17,лD│гелбG╢mз°░╧ ; лD│гел╜sйwбGдA║╪л╪┐vе╬жa
RPRNMLQJKHJFFGE08CA,║╓╕█мq,25.00,│гелбGжэ
RPSNMLQJKHJFFGE18CA,║╓╕█мq,26.39,│гелбGжэ
RPOOMLQJKHJFFGE87CA,йh▒C╝dмq,1388.00,лD│гелбGд@пы╣A╖~░╧ ; лD│гел╜sйwбG╣Aкке╬жa
RPROMLQJKHJFFGE18CA,╗ёлCмq,151.97,│гелбGжэ
RPTNMLKKKHJFFGE77CA,╣D╖▌?мq,26.90,│гелбGжэ
RPQPMLKKKHJFFGE67CA,дjий┤Ємq,21.91,│гелбGжэ
RPPOMLMKKHJFFGE67CA,ж╦дl╕}мq,90.00,│гелбGжэ
RPPNMLNKKHJFFGE67CA,д√╝щоHмq,16.97,│гелбGжэ
RPURMLNKKHJFFGE58CA,дхдsмq,15.03,│гелбGжэ
RPWPMLQKKHJFFGE88CA,│╗╖sмq,9.37,│гелбG░╙
RPXPMLQKKHJFFGE98CA,│╗╖sмq,16.40,│гелбG░╙
RPOQMLQKKHJFFGE18CA,│╗╖sмq,12.18,│гелбG░╙
RPPQMLQKKHJFFGE28CA,│╗╖sмq,16.40,│гелбG░╙
RPVNMLOLKHJFFGE48CA,╗ёе╥мq,64.68,│гелбGжэ
RPVNMLOLKHJFFGE48CA,╗ёе╥мq,6.62,│гелбGжэ
RPXNMLRLKHJFFGE98CA,дCж╤╖▌мqд@е╥дpмq,130.00,│гелбGжэ
RPXNMLRLKHJFFGE98CA,дCж╤╖▌мqд@е╥дpмq,22.00,│гелбGжэ
RPXNMLRLKHJFFGE98CA,дCж╤╖▌мqд@е╥дpмq,14.00,│гелбGжэ
RPOOMLRJKHJFFIE18CA,дsдЇмq,7.16,│гелбGжэ
RPOOMLRJKHJFFIE18CA,дsдЇмq,20.00,│гелбGжэ
RPOOMLRJKHJFFIE18CA,дsдЇмq,36.00,│гелбGжэ
RPUNMLRJKHJFFIE68CA,╕Uкўмq,1174.01,│гелбGдu
RPPNMLPKKHJFFIE08CA,дjжwмq,13.40,│гелбGжэ
RPSNMLNJLHJFFIE18CA,╞[н╡дsмq,9.21,│гелбGифеL
RPSNMLNJLHJFFIE18CA,╞[н╡дsмq,1.90,│гелбGифеL
RPSNMLRJKHJFFLE78CA,ддкхмq,103.00,│гелбGжэ
RPSNMLRJKHJFFLE78CA,ддкхмq,33.00,│гелбGифеL
RPSNMLRJKHJFFLE78CA,ддкхмq,27.00,│гелбGжэ
RPPNMLNKKHJFFLE18CA,п╬д╜╢щмq,81.00,│гелбGжэ
RPRNMLOKKHJFFLE48CA,дj╝dмq,622.00,│гелбG╣A
RPRNMLOKKHJFFLE48CA,дj╝dмq,8.00,│гелбG╣A
RPTNMLSKKHJFFLE09CA,┐jдl9bf7мq,75.00,│гелбGжэ
RPRNMLOLKHJFFLE58CA,║╓╝wмq,74.24,│гелбGжэ
RPTOMLNKKHJFFAE67DA,│╒з╡мq,5.69,│гелбG░╙
RPSOMLTKKHJFFAE18DA,лeкўмq,.03,│гелбG░╙
RPTOMLTKKHJFFAE28DA,лeкўмq,13.12,│гелбG░╙
RPQNMLLLKHJFFAE17DA,лCо№мq,10.36,│гелбGжэ
RPQOMLQJKHJFFDE87DA,╣йоїмq,25.07,│гелбGжэ
RPVOMLQJKHJFFDE38DA,╖р└Yмqд@дpмq,20.13,│гелбG░╙
RPRNMLTKKHJFFDE28DA,л╪жwмq,128.00,│гелбG░╙
RPSOMLPJKHJFFEE08DA,кG╢Tмq,22.51,│гелбGжэ
RPWOMLRLKHJFFEE88DA,еклnмq,8.38,│гелбG░╙
RPWOMLRLKHJFFEE88DA,еклnмq,.30,│гелбGжэ
RPWOMLRLKHJFFEE88DA,еклnмq,2.48,│гелбGжэ
RPWOMLRLKHJFFEE88DA,еклnмq,1.93,│гелбGифеL
RPWOMLRLKHJFFEE88DA,еклnмq,3.42,│гелбGжэ
RPPNMLLJLHJFFGE57DA,░ё│╗мq,42.46,│гелбGжэ
RPQNMLLJLHJFFGE67DA,░ё│╗мq,42.46,│гелбGжэ
RPRNMLLJLHJFFGE77DA,░ё│╗мq,42.46,│гелбGжэ
RPSNMLLJLHJFFGE87DA,░ё│╗мq,42.46,│гелбGжэ
RPTNMLLJLHJFFGE97DA,░ё│╗мq,42.46,│гелбGжэ
RPUNMLLJLHJFFGE08DA,░ё│╗мq,42.46,│гелбGжэ
RPVNMLLJLHJFFGE18DA,░ё│╗мq,42.46,│гелбGжэ
RPWNMLLJLHJFFGE28DA,░ё│╗мq,42.46,│гелбGжэ
RPXNMLLJLHJFFGE38DA,░ё│╗мq,42.46,│гелбGжэ
RPOOMLLJLHJFFGE57DA,░ё│╗мq,42.46,│гелбGжэ
RPPOMLLJLHJFFGE67DA,░ё│╗мq,45.21,│гелбGжэ
RPQOMLLJLHJFFGE77DA,░ё│╗мq,45.21,│гелбGжэ
RPROMLLJLHJFFGE87DA,░ё│╗мq,45.21,│гелбGжэ
RPSOMLLJLHJFFGE97DA,░ё│╗мq,45.21,│гелбGжэ
RPTOMLLJLHJFFGE08DA,░ё│╗мq,45.21,│гелбGжэ
RPUOMLLJLHJFFGE18DA,░ё│╗мq,45.21,│гелбGжэ
RPWOMLLJLHJFFGE38DA,░ё│╗мq,45.21,│гелбGжэ
RPXOMLLJLHJFFGE48DA,░ё│╗мq,45.21,│гелбGжэ
RPOPMLLJLHJFFGE67DA,░ё│╗мq,45.21,│гелбGжэ
RPPPMLLJLHJFFGE77DA,░ё│╗мq,45.21,│гелбGжэ
RPQPMLLJLHJFFGE87DA,░ё│╗мq,45.21,│гелбGжэ
RPRPMLLJLHJFFGE97DA,░ё│╗мq,45.21,│гелбGжэ
RPSPMLLJLHJFFGE08DA,░ё│╗мq,45.21,│гелбGжэ
RPTPMLLJLHJFFGE18DA,░ё│╗мq,45.21,│гелбGжэ
RPUPMLLJLHJFFGE28DA,░ё│╗мq,45.21,│гелбGжэ
RPVPMLLJLHJFFGE38DA,░ё│╗мq,45.21,│гелбGжэ
RPWPMLLJLHJFFGE48DA,░ё│╗мq,45.21,│гелбGжэ
RPXPMLLJLHJFFGE58DA,░ё│╗мq,52.25,│гелбGжэ
RPOQMLLJLHJFFGE77DA,░ё│╗мq,52.25,│гелбGжэ
RPPQMLLJLHJFFGE87DA,░ё│╗мq,52.25,│гелбGжэ
RPQQMLLJLHJFFGE97DA,░ё│╗мq,52.25,│гелбGжэ
RPRQMLLJLHJFFGE08DA,░ё│╗мq,52.25,│гелбGжэ
RPRNMLOKKHJFFFE97DA,пQ╛ЁкLмq,26.64,лD│гелбGд@пы╣A╖~░╧ ; лD│гел╜sйwбG╣Aкке╬жa
RPRNMLOKKHJFFFE97DA,пQ╛ЁкLмq,17.14,лD│гелбGд@пы╣A╖~░╧ ; лD│гел╜sйwбG╣Aкке╬жa
RPRNMLOKKHJFFFE97DA,пQ╛ЁкLмq,.07,лD│гелбGд@пы╣A╖~░╧ ; лD│гел╜sйwбG╣Aкке╬жa
RPRNMLOKKHJFFFE97DA,пQ╛ЁкLмq,9.14,лD│гелбGд@пы╣A╖~░╧ ; лD│гел╜sйwбG╣Aкке╬жa
RPRNMLOKKHJFFFE97DA,пQ╛ЁкLмq,180.21,лD│гелбGд@пы╣A╖~░╧ ; лD│гел╜sйwбG╣Aкке╬жa
RPRNMLOKKHJFFFE97DA,пQ╛ЁкLмq,25.36,лD│гелбGд@пы╣A╖~░╧ ; лD│гел╜sйwбG╣Aкке╬жa
RPQNMLPKKHJFFGE08DA,дCж╤╖▌мq,76.00,│гелбGжэ
RPRNMLPKKHJFFGE18DA,дCж╤╖▌мq,76.00,│гелбGжэ
RPPNMLRJKHJFFJE38DA,дд╕Їмq,2037.00,лD│гелбGпSйw╣A╖~░╧ ; лD│гел╜sйwбG╣Aкке╬жa
RPPNMLKLKHJFFKE97DA,└sи{мq,1061.00,лD│гелбGпSйw╣A╖~░╧ ; лD│гел╜sйwбG╣Aкке╬жa
RPPNMLKLKHJFFKE97DA,└sи{мq,87.00,лD│гелбGпSйw╣A╖~░╧ ; лD│гел╜sйwбGе╥║╪л╪┐vе╬жa
RPPNMLKLKHJFFKE97DA,└sи{мq,21.02,лD│гелбGпSйw╣A╖~░╧ ; лD│гел╜sйwбGе╥║╪л╪┐vе╬жa
RPPNMLNJLHJFFJE08DA,▒T║|мq,200.00,│гелбG░╙
RPPNMLNJLHJFFJE08DA,▒T║|мq,138.00,│гелбG░╙
RPPNMLNJLHJFFJE08DA,▒T║|мq,138.00,│гелбG░╙
RPPNMLNJLHJFFJE08DA,▒T║|мq,138.00,│гелбG░╙
RPPNMLNJLHJFFJE08DA,▒T║|мq,138.00,│гелбG░╙
RPPNMLNJLHJFFJE08DA,▒T║|мq,138.00,│гелбG░╙
RPPNMLNJLHJFFJE08DA,▒T║|мq,138.00,│гелбG░╙
RPPNMLNJLHJFFJE08DA,▒T║|мq,138.00,│гелбG░╙
RPSQMLLJLHJFFGE18DA,░ё│╗мq,52.25,│гелбGжэ
RPTQMLLJLHJFFGE28DA,░ё│╗мq,52.25,│гелбGжэ
RPUQMLLJLHJFFGE38DA,░ё│╗мq,52.25,│гелбGжэ
RPVQMLLJLHJFFGE48DA,░ё│╗мq,44.86,│гелбGжэ
RPUPMLMKKHJFFEE18DA,╖sе·мq,216.38,│гелбGжэ
RPSPMLQJKHJFFEE28DA,╖s╔▄мqдQдGдpмq,21.24,│гелбGжэ
RPXNMLKKKHJFFEE08DA,еклnмq,2.00,│гелбGжэ
RPRNMLRJKHJFFDE97DA,дj╢╢мq,9.86,│гелбG░╙
RPRNMLRJKHJFFDE97DA,дj╢╢мq,.00,│гелбG░╙
RPVOMLRJKHJFFDE48DA,л╪╝wмq,11.57,│гелбG░╙
RPUOMLSKKHJFFAE28DA,└s╡╪мqе|дpмq,9.55,│гелбGжэ
RPPNMLRJKHJFFAE47DA,дд┐│мq,81.00,│гелбGжэ
RPPNMLRJKHJFFAE47DA,дд┐│мq,7.25,│гелбGжэ
RPTNMLKKKHJFFAE27DA,кFкўмq,1.64,│гелбG░╙
RPTNMLKKKHJFFAE27DA,кFкўмq,.11,│гелбGифеL
RPQNMLRJKHJFFBE67DA,╖s┐│мqд@дpмq,21.70,│гелбG░╙
RPPNMLKKKHJFFBE96DA,кL╝wйxмqд@дpмq,23.97,│гелбGжэ
RPOOMLRJKHJFFCE67DA,е·╡╪мqд@дpмq,31.00,│гелбGжэ
RPOOMLRJKHJFFCE67DA,е·╡╪мqд@дpмq,37.00,│гелбGжэ
RPPNMLQLKHJFFLE58CA,╝ц└Yмq,277.00,│гелбG╣A
RPPNMLQLKHJFFLE58CA,╝ц└Yмq,27.00,│гелбG╣A
RPQOMLQLKHJFFLE78CA,д║┤Ємq,16.55,│гелбGжэ
RPPNMLRLKHJFFLE68CA,еюнэмq,68.87,│гелбGжэ
RPPNMLRLKHJFFLE68CA,еюнэмq,43.27,│гелбGжэ
RPPNMLOJLHJFFLE28CA,д║з|мq,17.60,│гелбGжэ
RPPOMLPJLHJFFLE48CA,д¤д╜╝qмq,1067.00,│гелбG╣A
RPRNMLTKKHJFFLE98CA,┤фдlоHмq,545.00,│гелбGжэ
RPSNMLTKKHJFFLE09CA,┤фдlоHмq,455.00,│гелбGжэ
RPTNMLTKKHJFFLE56CA,┤фдlоHмq,200.00,│гелбGжэ
RPPNMLLLKHJFFKE97CA,║╓жwмq,50.60,лD│гелбG╢mз°░╧ ; лD│гел╜sйwбGдA║╪л╪┐vе╬жa
RPPNMLLLKHJFFKE97CA,║╓жwмq,235.71,лD│гелбG╢mз°░╧ ; лD│гел╜sйwбGдA║╪л╪┐vе╬жa
RPQNMLPJLHJFFIE18CA,м№дsмq,242.42,│гелбGжэ
RPQNMLNJLHJFFIE97CA,╞[н╡┤Ємq,1430.02,лD│гелбGд@пы╣A╖~░╧ ; лD│гел╜sйwбG╣Aкке╬жa
RPSNMLRJKHJFFIE48CA,дхкZмq,677.60,│гелбGжэ
RPWNMLRJKHJFFIE88CA,╗Aл╠мq,66.00,│гелбGжэ
RPWNMLRJKHJFFIE88CA,╗Aл╠мq,18.00,│гелбGжэ
RPSNMLKKKHJFFIE87CA,╝сжXмq,195.96,│гелбGжэ
RPUNMLQLKHJFFIE78CA,и|д~мq,11.45,│гелбGжэ
RPUOMLRJKHJFFIE78CA,┐│╣Aмq,13.06,│гелбGжэ
RPUOMLRJKHJFFIE78CA,лOжwмq,2.96,│гелбGжэ
RPVOMLRJKHJFFIE88CA,┬╫е▌мq,41.13,│гелбGифеL
RPROMLRJKHJFFJE58CA,е╨╝dмq,391.00,лD│гелбGдsйYжaлOи|░╧ ; лD│гел╜sйwбG╣Aкке╬жa
RPROMLRJKHJFFJE58CA,е╨╝dмq,438.00,лD│гелбGдsйYжaлOи|░╧ ; лD│гел╜sйwбG╣Aкке╬жa
RPROMLRJKHJFFJE58CA,е╨╝dмq,853.00,лD│гелбGдsйYжaлOи|░╧ ; лD│гел╜sйwбG╣Aкке╬жa
RPTNMLKKKHJFFJE08CA,й╛з╡мq,21.50,│гелбGжэ
RPPPMLLKKHJFFJE97CA,,1267.72,лD│гелбGпSйw╣A╖~░╧ ; лD│гел╜sйwбG╣Aкке╬жa
RPPPMLLKKHJFFJE97CA,,5309.15,лD│гелбGпSйw╣A╖~░╧ ; лD│гел╜sйwбG╣Aкке╬жa
RPPNMLPKKHJFFJE18CA,е┐╕qмq,29.95,лD│гелбGд@пы╣A╖~░╧ ; лD│гел╜sйwбGе╥║╪л╪┐vе╬жa
RPPOMLRKKHJFFJE48CA,дE∙─мq,1270.00,лD│гелбGд@пы╣A╖~░╧ ; лD│гел╜sйwбG╣Aкке╬жa
RPROMLSKKHJFFJE78CA,кFдшмq,17.48,│гелбGжэ
RPWNMLNJLHJFFJE68CA,лCжwмq,74.92,лD│гелбG╢mз°░╧ ; лD│гел╜sйwбGдA║╪л╪┐vе╬жa
RPRNMLNJLHJFFJE18CA,╣ч╣tмq,202.00,│гелбGжэ
RPRNMLNJLHJFFJE18CA,╣ч╣tмq,1.25,│гелбGжэ
RPRNMLNJLHJFFJE18CA,╣ч╣tмq,68.22,│гелбGифеL
RPPNMLRLKHJFFGE18CA,╖sе╥мq,24.25,│гелбGжэ
RPUNMLOLKHJFFGE38CA,дне╥мq,13.38,│гелбGжэ
RPSOMLOLKHJFFGE28CA,░ё│╗мq,65.00,│гелбGжэ
RPSNMLRKKHJFFGE38CA,╡╪╗ёмq,26.66,│гелбGжэ
RPROMLOKKHJFFGE08CA,╡╪╗ёмq,27.48,│гелбGжэ
RPVPMLOKKHJFFGE58CA,д√╝щоHмq,50.00,│гелбGжэ
RPVPMLOKKHJFFGE58CA,д√╝щоHмq,14.00,│гелбGжэ
RPPNMLPKKHJFFGE87CA,ж╦дl╕}мq,23.55,│гелбGжэ
RPXNMLKKKHJFFGE18CA,║╓╕█мq,25.00,│гелбGжэ
RPSNMLKKKHJFFGE67CA,║╓╕█мq,32.98,│гелбGжэ
RPSNMLMKKHJFFGE87CA,дхдsмq,15.24,│гелбGжэ
RPPOMLRKKHJFFGE18CA,дне╥мq,1.71,│гелбGжэ
RPPOMLRKKHJFFGE18CA,дне╥мq,.82,│гелбGжэ
RPPOMLRKKHJFFGE18CA,дне╥мq,7.35,│гелбGжэ
RPXOMLRKKHJFFGE98CA,╖sе╥мq,17.37,│гелбGжэ
RPSNMLSKKHJFFGE48CA,дхн^мq,20.89,│гелбGжэ
RPXNMLSKKHJFFGE98CA,║╓╕█мq,12.37,│гелбGжэ
RPXNMLSKKHJFFGE98CA,║╓╕█мq,12.37,│гелбGжэ
RPQOMLRJKHJFFGE18CA,лn╡╪мq,85.95,│гелбGжэ
RPQOMLRJKHJFFGE18CA,лn╡╪мq,85.94,│гелбGжэ
RPUNMLRJLHJFFFE48CA,дjмїмq,1384.00,│гелбGжэ
RPVNMLRJLHJFFFE58CA,дjмїмq,139.00,│гелбGифеL
RPROMLQJLHJFFGE28CA,дх║╓мq,260.29,│гелбGжэ
RPUNMLKKKHJFFFE77CA,┐Pддмq,107.54,│гелбGжэ
RPRPMLKLLHJFFEE77CA,╖s╔▄мqдQдTдpмq,6.67,│гелбG░╙
RPVPMLNJLHJFFEE28CA,╡цд╜мqд╗дpмq,10.04,│гелбGжэ
RPWPMLNJLHJFFEE38CA,╡цд╜мqд╗дpмq,18.11,│гелбGжэ
RPQNMLRJLHJFFEE97CA,╖sоLмq,20.22,│гелбGжэ
RPTNMLRJLHJFFEE28CA,╖s╔▄мqдндpмq,12.92,│гелбGжэ
RPUOMLRKKHJFFEE48CA,╖sе·мq,16.83,│гелбGжэ
RPUNMLSKKHJFFEE48CA,╝wйўмq,17.15,│гелбGжэ
RPUNMLSKKHJFFEE48CA,╝wйўмq,59.69,│гелбGжэ
RPOOMLSKKHJFFEE97CA,╖г│гмqдTдpмq,22.20,│гелбGжэ
RPOOMLSKKHJFFEE97CA,╖г│гмqдTдpмq,2.85,│гелбGжэ
RPQPMLKLKHJFFEE57CA,╡цд╜мqд╗дpмq,6.79,│гелбGжэ
RPXOMLLLKHJFFEE28CA,╡цд╜мqд╗дpмq,23.38,│гелбGжэ
RPUNMLRJKHJFFEE28CA,╖s╔▄мqдндpмq,9.24,│гелбGжэ
RPQNMLSJKHJFFEE97CA,╖s╔▄мqдQдTдpмq,7.79,│гелбG░╙
RPRQMLLKKHJFFEE77CA,║╓е┴мq,14.10,│гелбGжэ
RPQPMLMKKHJFFEE67CA,┬┼е╨ддмq,313.06,│гелбGжэ
RPRNMLLKKHJFFEE47CA,┬┼йўмqдGдpмq,12.10,│гелбG░╙
RPSNMLLKKHJFFEE57CA,еккFмq,22.50,│гелбG░╙
RPPNMLQJLHJFFDE67CA,кў╖рмq,6.94,│гелбG░╙
RPQNMLQJLHJFFDE77CA,кў╖рмq,7.81,│гелбG░╙
RPRNMLQJLHJFFDE87CA,кў╖рмq,6.08,│гелбG░╙
RPOOMLLLKHJFFDE27CA,дT╢Їнэмqе|дpмq,46.41,│гелбGжэ
RPOPMLSKKHJFFDE97CA,╞W│╙мq,56.05,│гелбGжэ
RPSPMLSKKHJFFDE38CA,╞W│╙мq,76.80,│гелбGжэ
RPPOMLKLKHJFFDE27CA,дд│гмqдTдpмq,80.00,│гелбGжэ
RPSNMLPKKHJFFDE87CA,╣йоїмq,12.39,│гелбGжэ
RPPNMLMJLHJFFCE17CA,╛╦╝wмqд@дpмq,24.78,│гелбG░╙
RPWNMLOLKHJFFCE18CA,┬экFмq,41.00,│гелбGжэ
RPQOMLOLKHJFFCE67CA,░ккQмq,74.00,│гелбGжэ
RPPNMLPJLHJFFCE47CA,д╒жvмq,12.82,│гелбGжэ
RPOOMLTKKHJFFBE77CA,╖s┐│мqдGдpмq,9.14,│гелбG░╙
RPQNMLKLKHJFFBE07CA,╖N╕█мq,8.33,│гелбG░╙
RPQOMLRJKHJFFBE67CA,е┐иемq,11.18,│гелбGжэ
RPQOMLRJKHJFFBE67CA,е┐иемq,10.75,│гелбG░╙
RPWNMLLKKHJFFBE67CA,╖s┐│мqдTдpмq,9.01,│гелбG░╙
