╢m┬эел░╧,ецйЎ╝╨к║,дgжa░╧мqжь╕m/л╪кл░╧мqк∙╡P,дgжa▓╛┬р┴`н▒┐n(ендшд╜д╪),│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬╜sйw,ецйЎж~дыдщ,ецйЎ╡з┤╔╝╞,▓╛┬р╝hж╕,┴`╝╙╝h╝╞,л╪кллм║A,еDнnе╬│~,еDнnл╪зў,л╪┐vз╣жиж~ды,л╪кл▓╛┬р┴`н▒┐n(ендшд╜д╪),л╪кл▓{кpоцз╜-й╨,л╪кл▓{кpоцз╜-╞U,л╪кл▓{кpоцз╜-╜├,л╪кл▓{кpоцз╜-╣j╢б,ж│╡L║▐▓z▓╒┬┤,┴`╗∙(д╕),│ц╗∙(д╕/ендшд╜д╪),иожь├■зO,иожь▓╛┬р┴`н▒┐n(ендшд╜д╪),иожь┴`╗∙(д╕),│╞╡∙,╜s╕╣
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mрTжмз°жnжм91~120╕╣,124.72,,╢mз°░╧,дA║╪л╪┐vе╬жa,1061012,дgжa2л╪кл1иожь0,е■,е|╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,1060615,201.44,5,2,3,ж│,╡L,7300000,36239,,0.0,0,,RPQNMLRKJIMFFCQ66CA
╖s┤ф╢m,дgжa,┤фкFмq751~780жa╕╣,26.67,жэ,,,1061106,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,233000,8736,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPVNMLQKJIMFFCQ07CA
е┴╢п╢m,дgжa,║╓╝╓мq1021~1050жa╕╣,42.46,░╙,,,1061115,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,550000,12953,,0.0,0,╖ю╣sжaй╬ж│жXи╓и╧е╬дзецйЎбC,RPSNMLMLJIMFFCQ09CA
╖s┤ф╢m,дgжa,┤_┐│мq751~780жa╕╣,746.96,,д@пы╣A╖~░╧,дЇзQе╬жa,1061101,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,612507,820,,0.0,0,мFй▓│бк∙иє─│╗∙┴╩,RPVNMLRKJIMFFCQ17CA
╖s┤ф╢m,дgжa,┤_┐│мq721~750жa╕╣,237.59,,д@пы╣A╖~░╧,дЇзQе╬жa,1061101,дgжa3л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,189521,798,,0.0,0,мFй▓│бк∙иє─│╗∙┴╩,RPWNMLRKJIMFFCQ27CA
╖s┤ф╢m,дgжa,┤_┐│мq751~780жa╕╣,103.82,,д@пы╣A╖~░╧,дЇзQе╬жa,1061101,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,84094,810,,0.0,0,мFй▓│бк∙иє─│╗∙┴╩,RPXNMLRKJIMFFCQ37CA
╖s┤ф╢m,дgжa,┤_┐│мq751~780жa╕╣,207.64,,д@пы╣A╖~░╧,дЇзQе╬жa,1061101,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,168188,810,,0.0,0,мFй▓│бк∙иє─│╗∙┴╩,RPOOMLRKJIMFFCQ56CA
╖s┤ф╢m,дgжa,┤_┐│мq751~780жa╕╣,183.21,,д@пы╣A╖~░╧,дЇзQе╬жa,1061101,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,150234,820,,0.0,0,мFй▓│бк∙иє─│╗∙┴╩,RPPOMLRKJIMFFCQ66CA
╖s┤ф╢m,дgжa,┤_┐│мq751~780жa╕╣,183.21,,д@пы╣A╖~░╧,дЇзQе╬жa,1061101,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,150234,820,,0.0,0,мFй▓│бк∙иє─│╗∙┴╩,RPSNMLKLJIMFFCQ88CA
╖s┤ф╢m,дgжa,┤_┐│мq751~780жa╕╣,366.42,,д@пы╣A╖~░╧,дЇзQе╬жa,1061101,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,300469,820,,0.0,0,мFй▓│бк∙иє─│╗∙┴╩,RPTNMLKLJIMFFCQ98CA
е┴╢п╢m,дgжa,е╨ддебмq811~840жa╕╣,6564.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1061101,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,19850000,3024,,0.0,0,,RPVNMLKLJIMFFCQ56CA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лOелдддs╕Їд@мq228л╤19з╦1~30╕╣,10.23,жэ,,,1061101,дgжa1л╪кл1иожь0,дT╝h,дE╝h,╡╪╖H(10╝hзtеHдUж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0821006,50.870000000000005,1,1,1,ж│,╡L,410000,8060,,0.0,0,,RPSNMLMLJIMFFDQ56CA
дЇдW╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐ддЇдW╢mе┴е═з°жие\╡є91~120╕╣,37.51,,╢mз°░╧,дA║╪л╪┐vе╬жa,1061101,дgжa1л╪кл1иожь0,е■,е|╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0820720,87.94,4,2,3,ж│,╡L,2000000,22743,,0.0,0,┐╦д═├ЎлY╢бдзецйЎбC,RPVNMLPJKIMFFDQ07CA
д╙лOел,дgжa,▒[дl│╗мq151~180жa╕╣,686.0,жэ,,,1061108,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,6150000,8965,,0.0,0,,RPQNMLLJKIMFFDQ78CA
╡f╕Ї╢m,дgжa,╡f╕Їмq451~480жa╕╣,606.28,,д@пы╣A╖~░╧,╣Aкке╬жa,1061005,дgжa5л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3100000,5113,,0.0,0,,RPQNMLLLJIMFFEQ98CA
ж╡дlел,й╨жa(дgжa+л╪кл),╣┼╕q┐дж╡дlелдs│q╕Ї121~150╕╣,63.48,░╙,,,1061020,дgжa1л╪кл1иожь0,е■,д@╝h,│zд╤нэ,░╙╖~е╬,игифеL╡n░Oи╞╢╡,0730616,33.8,2,1,1,ж│,╡L,9500000,281065,,0.0,0,,RPPNMLMLJIMFFBQ78DA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m░ёид1~30╕╣,94.09,жэ,,,1061018,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0800902,177.09,3,2,2,ж│,╡L,5200000,29364,,0.0,0,,RPSNMLSLJIMFFCQ17DA
│└пє╢m,дgжa,лс╝dмqлс╝dдpмq361~390жa╕╣,2100.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1061103,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2310000,1100,,0.0,0,,RPPNMLQKJIMFFDQ66DA
│└пє╢m,дgжa,лс╝dмqлс╝dдpмq361~390жa╕╣,2020.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1061103,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2222000,1100,,0.0,0,,RPQNMLQKJIMFFDQ76DA
