¶mÂí¥«°Ï,¯²¸î¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¯²¸îÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¯²¸î¦~¤ë¤é,¯²¸îµ§´É¼Æ,¯²¸î¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,¯²¸îÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,¦³µLªþ³Ã­Ñ,Á`ÃB¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¯²¸îÁ`­±¿n¥­¤è¤½¤Ø,¯²ª÷Á`ÃB¤¸,³Æµù,½s¸¹
¦è¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è¤Ù°Ï´f¤¤¸ô61~90¸¹,79.0,¦í,,,1040803,¤g¦a1«Øª«1¨®¦ì0,¥þ,2,³z¤Ñ­í,¦í®a¥Î,¨£¨ä¥Lµn°O¨Æ¶µ,0610111,94.84,0,0,0,µL,µL,µL,28000,295,,0.0,0,,RPUOMLOJQHKFFCB48CC
¦è¤Ù°Ï,«Øª«,»O¤¤¥«¦è¤Ù°Ï¤å¤ß¸ô¤G¬q181~210¸¹,0.0,°Ó,,,1040612,¤g¦a0«Øª«1¨®¦ì0,¤@¼h,23,©±­±(©±¾Q),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0990930,393.48,0,0,0,µL,¦³,µL,238000,605,,0.0,0,,RPVOMLPJQHKFFCB68CC
¦è¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥««n¤Ù°Ï´Â¶Q¤@µó91~120¸¹,428.69,¦í,,,1040805,¤g¦a1«Øª«1¨®¦ì0,¥þ,5,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0840120,153.53,5,3,3,¦³,µL,µL,28000,182,,0.0,0,,RPQPMLPJQHKFFCB28CC
«n¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥««n¤Ù°Ï¤j¼[¤@µó95«Ñ1~30¸¹,128.7,¦í,,,1040727,¤g¦a1«Øª«1¨®¦ì1,¨£¨ä¥Lµn°O¨Æ¶µ,9,©±­±(©±¾Q),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0870512,175.44,3,2,3,¦³,¦³,µL,22000,125,©Y¹D¥­­±,29.75,0,,RPVPMLPJQHKFFCB78CC
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ï¤å©÷¤@µó61~90¸¹,75.0,¦í,,,1040801,¤g¦a1«Øª«1¨®¦ì0,¥þ,3,³z¤Ñ­í,¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0770704,48.72,1,0,1,¦³,µL,¦³,8400,172,,0.0,0,,RPXOMLPJQHKFFBB88DC
¼æ¤l°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¼æ¤l°Ïºa¿³µó61~90¸¹,22.3,¦í,,,1040706,¤g¦a1«Øª«1¨®¦ì0,¨£¨Ï¥Î°õ·Ó,12,©±­±(©±¾Q),¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0820525,136.77,1,2,2,¦³,¦³,µL,16000,117,,0.0,0,,RPQNMLPJQHKFFFL76CC
¼æ¤l°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¼æ¤l°Ï¤j³qµó1~30¸¹,22.1,¦í,,,1040709,¤g¦a1«Øª«1¨®¦ì0,¨£¨Ï¥Î°õ·Ó,8,©±­±(©±¾Q),¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0821029,139.0,1,2,2,¦³,¦³,µL,16500,119,,0.0,0,,RPRNMLPJQHKFFFL86CC
¼æ¤l°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¼æ¤l°Ï¤j³qµó31~60¸¹,333.67,¦í,,,1040728,¤g¦a1«Øª«1¨®¦ì0,¨£¨Ï¥Î°õ·Ó,8,©±­±(©±¾Q),¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0821029,243.2,0,0,0,µL,¦³,µL,26000,107,,0.0,0,¯²ª÷26000(¤º§tºÞ²z¶O1100),RPTNMLPJQHKFFFL07CC
Às¤«°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«Às¤«°ÏÃÀ³Nµó91~120¸¹,52.38,¦í,,,1040806,¤g¦a1«Øª«1¨®¦ì0,¥|¼h,4,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0690509,101.18,4,2,2,¦³,µL,µL,11000,109,,0.0,0,,RPQNMLQJQHKFFIL17CC
Às¤«°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«Às¤«°Ï»OÆW¤j¹D¤­¬q91~120¸¹,71.19,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,1040804,¤g¦a1«Øª«1¨®¦ì0,¥þ,4,³z¤Ñ­í,¦í°Ó¥Î,¥[±j¿j³y,0690810,230.7,6,2,4,¦³,µL,µL,26000,113,,0.0,0,,RPSNMLQJQHKFFIL37CC
«n¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è¤Ù°Ï¤å¤ß¸ô¤@¬q211~240¸¹,19.8,¦í,,,1040801,¤g¦a1«Øª«2¨®¦ì0,¤Q¤K¼h,22,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0841024,232.29,4,2,2,¦³,¦³,µL,36000,155,,0.0,0,,RPSNMLQJQHKFFCB38CC
«n¤Ù°Ï,¤g¦a,¥Ã¬K¬q1~30¦a¸¹,414.71,¦í,,,1040805,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,µL,50000,121,,0.0,0,1.¥Á°ê104¦~8¤ë16¤é¦Ü¥Á°ê105¦~8¤ë15¤é¡A¨C¤ë¯²ª÷·s¥x¹ô¥î¸U¤¸¾ã¡C2.¤ä¥I¤èªk¡G¤A¤è»Ý©ó­q¬ù®É¶}¥ß¤ä²¼¡A¤ä²¼¤ä¥I¤é¬°¨C¤ë16¤é¡A¨Ã©óÃ±¬ù®ÉÃ±µo¤Q¤G±i¤ä²¼¤@¦¸¥æ¥I¥Ò¤è¦¬¨ú¡A³v´Á§I²{¯²ª÷¡C­º¦~¯²ª÷¤ä¥I©óÃ±¬ù®É¤ä¥I¡C,RPTPMLQJQHKFFCB68CC
¦è¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è¤Ù°Ï¥Éªù¸ô451~480¸¹,9.32,¦í,,,1040710,¤g¦a1«Øª«1¨®¦ì0,¤@¼h,24,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0970630,219.1,0,0,0,µL,¦³,µL,50000,228,,0.0,0,,RPSQMLQJQHKFFCB68CC
¦è¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¦è¤Ù°Ï¦è¤Ù¸ô¤G¬q61~90¸¹,17.6,¦í,,,1040708,¤g¦a1«Øª«1¨®¦ì1,¤Q¤@¼h,12,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1030704,120.21,2,2,2,¦³,¦³,¦³,23000,191,©Y¹D¾÷±ñ,35.66,0,,RPSOMLRJQHKFFCB58CC
¦è¤Ù°Ï,«Øª«,»O¤¤¥«¦è¤Ù°Ï¦è¤Ù¸ô¤T¬q151~180¸¹,0.0,¦í,,,1040716,¤g¦a0«Øª«1¨®¦ì1,¤Q¥|¼h,21,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1031119,175.53,3,2,2,¦³,¦³,µL,25000,142,©Y¹D¥­­±,39.74,0,,RPWOMLRJQHKFFCB98CC
¦è¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¦è¤Ù°Ï¦è¤Ù¸ô¤G¬q241~270¸¹,13.46,¦í,,,1040710,¤g¦a1«Øª«1¨®¦ì1,¤G¼h,14,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1011121,116.19999999999999,2,1,1,¦³,¦³,¦³,22500,194,©Y¹D¾÷±ñ,32.66,0,¯²ª÷ÁÙ¦³§t¤@­Ó¾÷¨®¨®¦ì,RPOPMLRJQHKFFCB28CC
¦è¤Ù°Ï,«Øª«,»O¤¤¥«¦è¤Ù°Ï°ê¦w¤@¸ô121~150¸¹,0.0,¦í,,,1040725,¤g¦a0«Øª«1¨®¦ì0,¤Q¤»¼h,24,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0991119,67.19,2,1,1,¦³,¦³,¦³,17000,253,,0.0,0,,RPQPMLRJQHKFFCB48CC
¦è¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è¤Ù°Ï¥°§µ¸ô151~180¸¹,4.82,°Ó,,,1040710,¤g¦a1«Øª«1¨®¦ì0,¤K¼h,12,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0990201,91.48,2,1,2,¦³,¦³,¦³,23500,257,,0.0,0,¯²ª÷§tºÞ²z¶O,RPSPMLRJQHKFFCB68CC
¦è¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è¤Ù°Ïªe«n¸ô¤T¬q121~150¸¹,9.31,¨ä¥L,,,1040710,¤g¦a1«Øª«1¨®¦ì0,¤K¼h,15,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0960313,78.61,1,0,1,¦³,¦³,¦³,23000,293,,0.0,0,,RPOQMLRJQHKFFCB38CC
¦è¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¦è¤Ù°ÏºÖ¬P¸ô151~180¸¹,11.42,¦í,,,1040712,¤g¦a1«Øª«1¨®¦ì1,¤C¼h,13,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0960929,114.91,2,1,1,¦³,¦³,¦³,22000,191,©Y¹D¥­­±,28.59,0,¯²ª÷§tºÞ²z¶O¡C,RPVQMLRJQHKFFCB09CC
«n¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥««n¤Ù°Ï¤T©M¸ô151~180¸¹,33.07,¦í,,,1040803,¤g¦a1«Øª«1¨®¦ì0,¨£¨ä¥Lµn°O¨Æ¶µ,8,µØ·H(10¼h§t¥H¤U¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0860924,188.62,0,3,2,¦³,¦³,µL,20000,106,,0.0,0,,RPORMLRJQHKFFCB48CC
ªF°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«ªF°Ï©M¥­µó228«Ñ17§Ë1~30¸¹,5.47,¦í,,,1040115,¤g¦a1«Øª«1¨®¦ì0,¨£¨ä¥Lµn°O¨Æ¶µ,2,©±­±(©±¾Q),¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,,47.48,1,1,1,¦³,µL,µL,6000,126,,0.0,0,,RPXOMLRJQHKFFAB88CC
ªF°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«ªF°Ï«Ø¤¯µó1~30¸¹,80.0,¦í,,,1040801,¤g¦a1«Øª«1¨®¦ì0,¥þ,3,³z¤Ñ­í,¦í¤u¥Î,¿ûµ¬²V¾®¤g³y,0750425,38.3,0,0,0,µL,µL,µL,8000,209,,0.0,0,,RPOPMLRJQHKFFAB08CC
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°ÏÂn¶§¸ô¤T¬q1~30¸¹,15.44,°Ó,,,1040710,¤g¦a1«Øª«1¨®¦ì1,¤G¼h,18,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0990909,193.70999999999998,4,2,3,¦³,¦³,¦³,36000,186,©Y¹D¥­­±,22.91,0,¯²ª÷§tºÞ²z¶OÁÙ¦³¤@­Ó¾÷¨®¦ì¡C,RPSOMLRJQHKFFBB48CC
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ïº~¤f¸ô¥|¬q1~30¸¹,81.0,¦í,,,1040801,¤g¦a1«Øª«1¨®¦ì0,¥þ,4,³z¤Ñ­í,¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0770202,234.0,4,3,3,¦³,µL,µL,36000,154,,0.0,0,,RPUOMLRJQHKFFBB68CC
¦è¤Ù°Ï,«Øª«,»O¤¤¥«¦è¤Ù°Ï»O¤¤¥«¦è¤Ù¸ô¤G¬q271~300¸¹,40.0,¦í,,,1040806,¤g¦a0«Øª«1¨®¦ì0,¤G¼h,5,©±­±(©±¾Q),¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0760707,149.25,0,0,0,µL,µL,µL,41000,275,,0.0,0,²Ä¤G.¤T¦~¥X¯²ª÷ÃB¬° ¢C42000,RPXNMLRJQHKFFCB09DC
¦è¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¦è¤Ù°ÏÀô¤¤¸ô¤G¬q1111~1140¸¹,22.02,¦í,,,1040803,¤g¦a1«Øª«1¨®¦ì1,¤T¼h,18,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1040109,230.05,4,2,2,¦³,¦³,¦³,46000,200,©Y¹D¥­­±,0.0,0,¯²ª÷¤º§tºÞ²z¶O¥Î,RPWQMLRJQHKFFCB66DC
¤Ó¥­°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¤Ó¥­°ÏªF§ø¤»µó22«Ñ31~60¸¹,19.95,¦í,,,1040806,¤g¦a1«Øª«1¨®¦ì0,¤T¼h,7,µØ·H(10¼h§t¥H¤U¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0850209,110.04,3,2,2,¦³,¦³,µL,14000,127,,0.0,0,,RPSNMLRJQHKFFHL47DC
¤j¥Ò°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¤j¥Ò°Ï¤u¤G¸ô31~60¸¹,4098.0,,¤u·~°Ï,¤BºØ«Ø¿v¥Î¦a,1040715,¤g¦a3«Øª«1¨®¦ì0,¨£¨ä¥Lµn°O¨Æ¶µ,2,¤u¼t,¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,0750115,2346.68,0,0,0,µL,µL,¦³,142000,,,0.0,0,,RPPNMLRJQHKFFBL09CC
¤j¥Ò°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¤j¥Ò°Ï¤åªZ¸ô91~120¸¹,135.0,°Ó,,,1040803,¤g¦a1«Øª«1¨®¦ì0,¤@¼h,3,©±­±(©±¾Q),¦í°Ó¥Î,¿ûµ¬²V¾®¤g¥[±j¿j³y,0561220,75.07,1,1,1,¦³,µL,µL,15000,200,,0.0,0,,RPQNMLRJQHKFFBL56CC
¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è°Ï¤j¼[¤Qµó31~60¸¹,30.48,¦í,,,1040710,¤g¦a1«Øª«1¨®¦ì0,¤@¼h,7,©±­±(©±¾Q),¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0800613,182.85,0,0,0,µL,µL,¦³,30000,164,,0.0,0,,RPVNMLKKQHKFFAB18EC
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï³¯¥­¸ô151~180¸¹,74.0,¦í,,,1040729,¤g¦a2«Øª«1¨®¦ì0,¥þ,5,³z¤Ñ­í,¥«³õÅu¦ì,¿ûµ¬²V¾®¤g³y,0830421,317.6,5,2,4,¦³,µL,µL,30000,94,,0.0,0,,RPTRMLKKQHKFFBB38DC
¯Q¤é°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¯Q¤é°Ï·Ë«n¸ô¤G¬q169«Ñ1~30¸¹,67.0,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,1040809,¤g¦a1«Øª«1¨®¦ì0,¥þ,3,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0941205,164.82,4,3,3,¦³,µL,µL,13000,79,,0.0,0,,RPSNMLKKQHKFFGL66CC
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ï°¢¦è¸ô91~120¸¹,4.23,¦í,,,1040717,¤g¦a1«Øª«1¨®¦ì0,¤C¼h,15,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0781102,31.45,1,1,1,¦³,¦³,¦³,5200,165,,0.0,0,,RPSPMLKKQHKFFBB97CC
¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è°Ï¦s¤¤µó151~180¸¹,37.0,¦í,,,1040715,¤g¦a1«Øª«1¨®¦ì0,¥þ,4,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0670901,52.98,2,1,1,¦³,µL,¦³,6000,113,,0.0,0,,RPQOMLKKQHKFFAB57CC
«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥««n°Ï¤¯©M¤@µó91~120¸¹,4.23,¦í,,,1040717,¤g¦a1«Øª«1¨®¦ì0,¤­¼h,8,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,,96.19,3,2,2,¦³,µL,¦³,8800,91,,0.0,0,¯²ª÷§tºÞ²z¶O¡C,RPSOMLKKQHKFFAB77CC
¦è¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¦è¤Ù°Ï¤å¤ß¸ô¤T¬q1~30¸¹,2540.0,¦í,,,1040806,¤g¦a1«Øª«1¨®¦ì2,¤Q¼h,28,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0980713,332.97,3,2,2,¦³,¦³,¦³,45000,135,©Y¹D¥­­±,0.0,0,,RPSNMLKKQHKFFCB87CC
¦è¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è¤Ù°Ï»OÆW¤j¹D¤G¬q871~900¸¹,4.9,¦í,,,1040713,¤g¦a1«Øª«1¨®¦ì0,¤Q¤G¼h,14,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0951124,54.9,1,1,1,¦³,¦³,¦³,15000,273,,0.0,0,¯²ª÷§tºÞ²z¶O,RPQOMLKKQHKFFCB77CC
¦è¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è¤Ù°ÏºÖ¬ì¸ô661~690¸¹,81.93,¦í,,,1040709,¤g¦a1«Øª«1¨®¦ì0,¨£¨ä¥Lµn°O¨Æ¶µ,5,©±­±(©±¾Q),¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0790113,351.39,9,2,4,¦³,µL,µL,40000,114,,0.0,0,,RPROMLKKQHKFFCB87CC
¦è¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è¤Ù°Ï»OÆW¤j¹D¤G¬q871~900¸¹,4.1,¦í,,,1040716,¤g¦a1«Øª«1¨®¦ì0,¥|¼h,14,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0951124,42.09,1,1,1,¦³,¦³,¦³,12000,285,,0.0,0,¯²ª÷§tºÞ²z¶O¡C,RPSOMLKKQHKFFCB97CC
