¶mÂí¥«°Ï,¯²¸î¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¯²¸îÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¯²¸î¦~¤ë¤é,¯²¸îµ§´É¼Æ,¯²¸î¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,¯²¸îÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,¦³µLªþ³Ã­Ñ,Á`ÃB¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¯²¸îÁ`­±¿n¥­¤è¤½¤Ø,¯²ª÷Á`ÃB¤¸,³Æµù,½s¸¹
¤¯ªZ°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«¤¯ªZ°Ï¤u·~¤G¸ô17«Ñ61~90¸¹,240.0,¤u,,,1050122,¤g¦a1«Øª«1¨®¦ì0,,1,¤u¼t,¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,0960906,169.98,1,0,1,¦³,µL,µL,36667,,,0.0,0,¯²ª÷§t¤G¥N°·«O1.91%¤Î¯²¸î©Ò±oµ|10%,RPUNMLLJKHLFFIE48CC
¤¯ªZ°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«¤¯ªZ°Ï¤u·~¤G¸ô17«Ñ61~90¸¹,231.0,¤u,,,1050122,¤g¦a1«Øª«1¨®¦ì0,¤@¼h,1,¤u¼t,¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,0960906,163.17,1,0,1,¦³,µL,µL,36667,,,0.0,0,¯²ª÷§t¤G¥N°·«O1.91%¤Î¯²¸î©Ò±oµ|10%,RPVNMLLJKHLFFIE58CC
¤¯ªZ°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«¤¯ªZ°Ï¤u·~¤G¸ô17«Ñ61~90¸¹,236.0,¤u,,,1050122,¤g¦a1«Øª«1¨®¦ì0,¤@¼h,1,¤u¼t,¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,0960906,163.61,1,0,1,¦³,µL,µL,36667,,,0.0,0,¯²ª÷§t¤G¥N°·«O1.91%¤Î¯²¸î©Ò±oµ|10%,RPWNMLLJKHLFFIE68CC
¤jªÀ°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«¤jªÀ°Ï¥Á¥Í¸ô1~30¸¹,11.44,°Ó,,,1021005,¤g¦a1«Øª«1¨®¦ì0,¤G¼h,10,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0840817,81.73,3,2,2,¦³,µL,µL,7000,86,,0.0,0,­ì¥Ó³ø®Ñ§Ç¸¹C1EI10211010003ºM¾P,RPTOMLLJKHLFFIE48CC
«eÂí°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥««eÂí°Ï¤¤µØ¤­¸ô991«Ñ1~30¸¹,30.31,¦í,,,1030824,¤g¦a1«Øª«1¨®¦ì0,¤T¼h,12,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0830809,137.97,3,2,2,¦³,µL,¦³,14000,101,,0.0,0,¨Ì¤¤µØ¥Á°ê105¦~1¤ë18¤é°ª¥«¦a¬FÄy¦r²Ä10530103800¸¹¨ç¿ì²z ­ì¥Ó³ø®Ñ§Ç¸¹C1EC10310180002,RPQPMLLJKHLFFCE77DC
·£±ê°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«·£±ê°Ï¥[§»¸ô181~210¸¹,27.82,¦í,,,1041212,¤g¦a1«Øª«1¨®¦ì0,¥þ,2,³z¤Ñ­í,¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0790621,138.87,0,2,2,¦³,µL,µL,15000,108,,0.0,0,,RPQQMLMJKHLFFEE08CC
¤T¥Á°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«¤T¥Á°Ï«Ø¤u¸ô451~480¸¹,74.32,°Ó,,,1050130,¤g¦a1«Øª«1¨®¦ì0,¨£¨ä¥Lµn°O¨Æ¶µ,3,©±­±(©±¾Q),,¥[±j¿j³y,0640611,151.2,0,0,0,µL,µL,¦³,38000,251,,0.0,0,,RPSNMLMJKHLFFDE87CC
«eÂí°Ï,«Øª«,°ª¶¯¥««eÂí°Ï¤@¤ß¤@¸ô121~150¸¹,0.0,°Ó,,,1050122,¤g¦a0«Øª«1¨®¦ì0,¥þ,4,³z¤Ñ­í,,¿ûµ¬²V¾®¤g³y,0650616,222.8,5,3,4,¦³,µL,¦³,33000,148,,0.0,0,,RPTOMLMJKHLFFCE97CC
¹ª¤s°Ï,«Øª«,°ª¶¯¥«¹ª¤s°Ï¸Î¸Û¸ô1591~1620¸¹,0.0,¦í,,,1050201,¤g¦a0«Øª«0¨®¦ì0,¦a¤U¤@¼h,16,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),°Ó·~¥Î,¿ûµ¬²V¾®¤g³y,0840126,165.0,1,0,1,¦³,¦³,µL,17000,103,,0.0,0,©Ó¯²­±¿n¬ù50©W,¯²ª÷§tºÞ²z¶O,RPSNMLMJKHLFFAE57CC
­d¶®°Ï,«Øª«,°ª¶¯¥«­d¶®°Ï¤­Åvµó91~120¸¹,0.0,¦í,,,1050127,¤g¦a0«Øª«1¨®¦ì0,¥þ,6,³z¤Ñ­í,,¿ûµ¬²V¾®¤g³y,0690202,201.58,0,0,0,µL,µL,µL,18000,89,,0.0,0,³z¤Ñ6¼Ó;¶È©Ó¯²¦a¤U«Ç¤Î¤@¼Ó«e¥b³¡¥÷,RPRNMLMJKHLFFBE57CC
­d¶®°Ï,«Øª«,°ª¶¯¥«­d¶®°Ï¥|ºû¤T¸ô241~270¸¹,0.0,°Ó,,,1050203,¤g¦a0«Øª«1¨®¦ì0,¤E¼h,12,¿ì¤½°Ó·~¤j¼Ó,,¿ûµ¬²V¾®¤g³y,0781109,56.0,0,0,0,µL,¦³,µL,9000,161,,0.0,0,Äò¬ù1­Ó¤ë,RPQNMLNJKHLFFBE57CC
­d¶®°Ï,¨®¦ì,°ª¶¯¥«­d¶®°Ï·s¥ú¸ô62«Ñ1~30¸¹,0.0,°Ó,,,1050131,¤g¦a0«Øª«0¨®¦ì1,,,¨ä¥L,,,,0.0,0,0,0,¦³,¦³,µL,2500,,©Y¹D¥­­±,14.65,2500,,RPSNMLNJKHLFFBE77CC
­d¶®°Ï,¨®¦ì,°ª¶¯¥«­d¶®°Ï·s¥ú¸ô62«Ñ1~30¸¹,0.0,°Ó,,,1050131,¤g¦a0«Øª«0¨®¦ì1,,,¨ä¥L,,,,0.0,0,0,0,¦³,¦³,µL,2000,,©Y¹D¥­­±,14.65,2000,,RPTNMLNJKHLFFBE87CC
¹ª¤s°Ï,«Øª«,°ª¶¯¥«¹ª¤s°Ï¬ü³NªF¤T¸ô1~30¸¹,0.0,,,,1041201,¤g¦a0«Øª«1¨®¦ì0,¨£¨ä¥¦µn°O¨Æ¶µ,12,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),°Ó·~¥Î,¿ûµ¬²V¾®¤g³y,0930513,214.95,0,0,0,µL,¦³,µL,85000,395,,0.0,0,,RPTNMLNJKHLFFAE77CC
«eÂí°Ï,«Øª«,°ª¶¯¥««eÂí°Ï¾G©M«n¸ô361~390¸¹,0.0,°Ó,,,1050130,¤g¦a0«Øª«1¨®¦ì1,¤Q¥|¼h,27,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0960509,211.39,4,2,2,¦³,¦³,¦³,30000,142,©Y¹D¥­­±,23.87,0,,RPWNMLNJKHLFFCE28CC
¤T¥Á°Ï,«Øª«,°ª¶¯¥«¤T¥Á°Ï¤j©÷¤G¸ô61~90¸¹,0.0,¦í,,,1050203,¤g¦a0«Øª«1¨®¦ì1,¤­¼h,12,¿ì¤½°Ó·~¤j¼Ó,,¿ûµ¬²V¾®¤g³y,0800301,125.71000000000001,0,0,0,µL,¦³,µL,17500,139,©Y¹D¾÷±ñ,0.0,0,,RPVNMLNJKHLFFDE28CC
¤T¥Á°Ï,«Øª«,°ª¶¯¥«¤T¥Á°Ï©ú¸Û¤@¸ô481~510¸¹,0.0,¦í,,,1050108,¤g¦a0«Øª«3¨®¦ì0,¨£¨ä¥Lµn°O¨Æ¶µ,2,©±­±(©±¾Q),°Ó·~¥Î,¨£¨Ï¥Î°õ·Ó,0881026,419.16,0,0,0,µL,µL,µL,175000,418,,0.0,0,,RPXPMLNJKHLFFDE68CC
¥ªÀç°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«¥ªÀç°Ï¤å©²¸ô175«Ñ1~30¸¹,52.0,¦í,,,1021001,¤g¦a1«Øª«1¨®¦ì0,¥þ,2,³z¤Ñ­í,,¥[±j¿j³y,0680202,64.56,3,2,2,¦³,µL,µL,9000,139,,0.0,0,,RPXNMLNJKHLFFEE68DC
©£¤s°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«©£¤s°Ï¦Ë³ò¥_µó121~150¸¹,22.17,¦í,,,1050104,¤g¦a1«Øª«1¨®¦ì0,¤»¼h,6,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0830120,121.96,2,3,1,¦³,µL,¦³,12500,102,,0.0,0,,RPRNMLNJKHLFFFE08CC
»ñ¤s°Ï,«Øª«,°ª¶¯¥«»ñ¤s°Ï¦Û±j¤@¸ô181~210¸¹,127.0,¦í,,,1050202,¤g¦a0«Øª«1¨®¦ì0,¥þ,4,³z¤Ñ­í,¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0670721,220.8,4,2,4,¦³,µL,µL,25000,113,,0.0,0,,RPRPMLNJKHLFFGE38CC
¤T¥Á°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«¤T¥Á°Ï¤Q¥þ¤@¸ô451~480¸¹,208.0,°Ó,,,1050125,¤g¦a1«Øª«1¨®¦ì0,¤@¼h,8,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0830927,164.65,0,0,0,µL,µL,µL,80000,486,,0.0,0,,RPUNMLOJKHLFFDE28CC
¤T¥Á°Ï,«Øª«,°ª¶¯¥«¤T¥Á°Ï«Ø¤u¸ô511~540¸¹,0.0,°Ó,,,1050110,¤g¦a0«Øª«0¨®¦ì0,¨£¨ä¥Lµn°O¨Æ¶µ,3,©±­±(©±¾Q),¦í°Ó¥Î,¥[±j¿j³y,0570510,115.18,1,2,1,¦³,µL,µL,40000,347,,0.0,0,,RPOOMLOJKHLFFDE77CC
¥ªÀç°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«¥ªÀç°Ï¥ß¤å¸ô91~120¸¹,8.67,°Ó,,,1050201,¤g¦a1«Øª«1¨®¦ì0,¤Q¤T¼h,15,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1030327,114.64,2,2,1,¦³,¦³,¦³,30000,262,,0.0,0,,RPROMLOJKHLFFEE18CC
¥ªÀç°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«¥ªÀç°Ï¥Á±Ú¤@¸ô991~1020¸¹,13.29,¦í,,,1050201,¤g¦a1«Øª«1¨®¦ì0,¨£¨ä¥¦µn°O¨Æ¶µ,14,©±­±(©±¾Q),¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0870826,153.74,3,2,4,¦³,¦³,µL,23000,150,,0.0,0,¯²¸î¼h¦¸:1¼Ó+2¼Ó+§¨¼h,RPSOMLOJKHLFFEE28CC
«eÂí°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥««eÂí°ÏºÖ²»µó10«Ñ1~30¸¹,24.07,¦í,,,1050202,¤g¦a1«Øª«1¨®¦ì0,¤C¼h,7,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0821002,169.35,4,2,2,¦³,¦³,µL,15000,89,,0.0,0,,RPOOMLOJKHLFFCE67CC
