½s¸¹,¤g¦a°Ï¬q¦ì¸m,¤g¦a²¾Âà­±¿n¥­¤è¤½¤Ø,¨Ï¥Î¤À°Ï©Î½s©w
RPQNMLTKKIMFFCV47CA,·Ë®H¬q,1343.46,³£¥«¡G¹A
RPPNMLQJKIMFFCV96CA,¤j¦À¬q,2008.65,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPPNMLQJKIMFFCV96CA,¤j¦À¬q,2008.65,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPPNMLRJKIMFFDV27DA,¹F¤H¬q,1031.49,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPPNMLRJKIMFFDV27DA,¹F¤H¬q,1050.17,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPTNMLLKKIMFFAV76CA,§Q¥d¹Ú¬q,184.86,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPTNMLLKKIMFFAV76CA,§Q¥d¹Ú¬q,14.85,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPPNMLLKKIMFFCV66DA,·s¿³¬q,1964.68,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPPNMLLKKIMFFCV66DA,·s¿³¬q,217.47,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPPNMLLKKIMFFCV66DA,·s¿³¬q,937.68,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPPNMLLKKIMFFCV66DA,·s¿³¬q,1028.28,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPPNMLLKKIMFFCV66DA,·s¿³¬q,2671.06,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPQNMLRJKIMFFAV96CA,Â×¯è¬q,73.02,³£¥«¡G¦í
RPQNMLRJKIMFFAV96CA,Â×¯è¬q,22.66,³£¥«¡G¦í
RPSNMLQJKIMFFAV07CA,¥xªF¬q,139.00,³£¥«¡G¦í
RPUNMLQJKIMFFAV27CA,Â×¨¦¬q,133.28,³£¥«¡G¦í
RPPNMLQJKIMFFAV76CA,«nºa¬q,1418.85,³£¥«¡G¹A
RPVNMLQJKIMFFAV37CA,ª¾¥»¬q,1190.00,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPPNMLNKKIMFFAV56CA,¥xªF¬q,16.72,³£¥«¡G¦í
RPPNMLLKKIMFFAV98CA,¤j·~¬q,92.91,³£¥«¡G¦í
RPOOMLQJKIMFFAV76CA,¼w¦w¬q,21.26,³£¥«¡G¦í
RPOOMLQJKIMFFAV76CA,¼w¦w¬q,.15,³£¥«¡G¦í
RPOOMLQJKIMFFAV76CA,¼w¦w¬q,1.96,³£¥«¡G¦í
RPOOMLQJKIMFFAV76CA,¼w¦w¬q,.04,³£¥«¡G¦í
RPXNMLPJKIMFFAV47CA,¥Ã²M¬q,140.16,³£¥«¡G¦í
RPRNMLNKKIMFFAV76CA,Â×ºa¬q,96.00,³£¥«¡G¦í
RPQNMLSJKIMFFAV07CA,§Q®a¬q,50.00,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPTNMLQJKIMFFAV17CA,°¨Äõ¬q,24.25,³£¥«¡G¦í
RPQNMLLLKIMFFAV56CA,¤½ûæªF¬q,86.35,³£¥«¡G¨ä¥L
RPQNMLLLKIMFFAV56CA,¤½ûæªF¬q,134.96,³£¥«¡G¨ä¥L
RPQNMLLLKIMFFAV56CA,¤½ûæªF¬q,284.08,³£¥«¡G¨ä¥L
RPQNMLLLKIMFFAV56CA,¤½ûæªF¬q,352.06,³£¥«¡G¨ä¥L
RPRNMLSJKIMFFAV17CA,¤½ûæ¦è¬q,32.06,³£¥«¡G¹A
RPRNMLSJKIMFFAV17CA,¤½ûæ¦è¬q,233.18,³£¥«¡G¹A
RPPNMLSJKIMFFAV96CA,§Q®a¬q,35.43,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPPNMLSJKIMFFAV96CA,§Q®a¬q,31.46,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPRNMLRJKIMFFAV07CA,§Q®a¬q,12.18,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPRNMLRJKIMFFAV07CA,§Q®a¬q,124.00,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPRNMLRJKIMFFAV07CA,§Q®a¬q,20.09,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPPNMLRJKIMFFAV86CA,Â×¨½¬q,60.84,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¥ÒºØ«Ø¿v¥Î¦a
RPPNMLRJKIMFFAV86CA,Â×¨½¬q,60.84,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¥ÒºØ«Ø¿v¥Î¦a
RPVNMLNKKIMFFAV17CA,±d¼Ö¬q,8466.00,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPVNMLNKKIMFFAV17CA,±d¼Ö¬q,9206.00,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPWNMLNKKIMFFAV27CA,±d¼Ö¬q,916.00,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPWNMLNKKIMFFAV27CA,±d¼Ö¬q,1380.00,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPPNMLTJKIMFFDV37CA,Äõ¨½¬q,557.68,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPPNMLSLKIMFFAV17CA,Â×¦~¬q,18.03,³£¥«¡G¦í
RPPNMLMKKIMFFAV56DA,¥_«n¤ý¬q,11959.10,³£¥«¡G¨ä¥L
RPWNMLLKKIMFFAV07CA,¥xªF¬q,57.00,³£¥«¡G°Ó
TPPNMLMKKIMFFAV76DA,¥_«n¤ý¬q,2289.54,³£¥«¡G¨ä¥L
SPPNMLMKKIMFFAV66DA,¥_«n¤ý¬q,4.60,³£¥«¡G¨ä¥L
RPQNMLMKKIMFFAV66DA,¥_«n¤ý¬q,166.14,³£¥«¡G¨ä¥L
RPVNMLLKKIMFFAV96CA,¤¤²M¬q,113.09,³£¥«¡G¦í
RPSNMLRJKIMFFBV27CA,¥[¨«ÆW¬q,3326.88,«D³£¥«¡G­·´º°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPPNMLNJJHNFFAV98CA,¥xªF¬q,57.92,³£¥«¡G¦í
RPRNMLMKKIMFFAV76DA,¥ú©ú¬q,107.67,³£¥«¡G¨ä¥L
RPOOMLNKKIMFFAV56CA,Â×±d¬q,19.29,³£¥«¡G¹A
RPOOMLNKKIMFFAV56CA,Â×±d¬q,103.47,³£¥«¡G¹A
RPOOMLNKKIMFFAV56CA,Â×±d¬q,37.76,³£¥«¡G¹A
RPOOMLNKKIMFFAV56CA,Â×±d¬q,6226.70,³£¥«¡G¹A
RPTNMLNKKIMFFAV96CA,Â×ºa¬q,111.00,³£¥«¡G¦í
RPSNMLLKKIMFFBV76CA,ÀØ®ü¬q,2451.85,³£¥«¡G¹A
RPSNMLMKKIMFFAV86DA,¥ú©ú¬q,107.67,³£¥«¡G¨ä¥L
RPPNMLLKKIMFFBV09CA,ÀØ®ü¬q,8.87,³£¥«¡G¦í
RPPNMLMJJHNFFBV98CA,©¾´¼¬q,225.93,³£¥«¡G¦í
RPPNMLKKKIMFFBV09DA,¤j­Ñ¨Ó¬q,86.61,«D³£¥«¡G­·´º°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPXNMLLKKIMFFAV17CA,¦Û±j¬q,164.00,³£¥«¡G¦í
RPXNMLLKKIMFFAV17CA,¦Û±j¬q,55.00,³£¥«¡G¨ä¥L
